제목;가격;평점;이미지
[컴퓨터/IT] Node.js 교과서 : 기본기에 충실한 Node.js 10 입문서;28,800원;9.7 / 10;http://image.kyobobook.co.kr/images/book/large/221/l9791160505221.jpg
[컴퓨터/IT] Node.js 디자인 패턴 : 모듈형의 확장 가능한 서버 측 어플리케이션 제작을 위한|Node.js 최고의 지침서;24,300원;10 / 10;http://image.kyobobook.co.kr/images/book/large/425/l9788931459425.jpg
[컴퓨터/IT] 실전! Node.js 마이크로서비스 개발 (오픈소스&웹 시리즈 92);22,500원;0 / 10;http://image.kyobobook.co.kr/images/book/large/294/l9791158391294.jpg
[컴퓨터/IT] 초보자를 위한 Node.js 노드js 200제;20,700원;8.9 / 10;http://image.kyobobook.co.kr/images/book/large/798/l9788956747798.jpg
[컴퓨터/IT] 웹 서비스를 만들며 배우는 node.js 프로그래밍 : 설치에서 배포까지;18,000원;10 / 10;http://image.kyobobook.co.kr/images/book/large/293/l9791188621293.jpg
[컴퓨터/IT] Node.js 마이크로서비스 코딩 공작소 : 마이크로서비스 아키텍처 설계와 구현/장애 처리/보안/로그 수집/배포까지|자유롭게 개발하고 손쉽게 업데이트하자;23,400원;6.5 / 10;http://image.kyobobook.co.kr/images/book/large/217/l9791160504217.jpg
[컴퓨터/IT] Do it! Node.js 프로그래밍 : 실제 서버로 구동 가능한 코드로 배운다! [ 전면개정판 ];31,500원;8.7 / 10;http://image.kyobobook.co.kr/images/book/large/802/l9791187370802.jpg
[컴퓨터/IT] Node.js 6.x 블루프린트 : ES6와 익스프레스로 SNS, 상점 찾기, 실시간 채팅 등|10가지 모던 웹 앱 프로젝트 만들기;27,000원;10 / 10;http://image.kyobobook.co.kr/images/book/large/576/l9788968487576.jpg
[컴퓨터/IT] 제대로 배우는 Node.js 프로그래밍;25,200원;0 / 10;http://image.kyobobook.co.kr/images/book/large/404/l9788994774404.jpg
[컴퓨터/IT] 실무환경에 맞춘 Node js 프로그래밍 : 자바스크립트 서버까지 점령하라 [ CD1장포함 ];20,700원;10 / 10;http://image.kyobobook.co.kr/images/book/large/077/l9788983798077.jpg
[컴퓨터/IT] Node.js 하이 퍼포먼스 : 성능 분석부터 병목 현상 제거 및 성능 저하 회피까지 (acorn+PACKT 시리즈);13,500원;0 / 10;http://image.kyobobook.co.kr/images/book/large/488/l9788960779488.jpg
[컴퓨터/IT] 모던 웹을 위한 Node.js 프로그래밍 : Node.js LTS 버전으로 배우는 웹 애플리케이션 서버 프로그래밍 [ 3판 ];22,500원;9.6 / 10;http://image.kyobobook.co.kr/images/book/large/946/l9788968482946.jpg
[컴퓨터/IT] Node.Js 노드제이에스 프로그래밍 : 클라우드 컴퓨팅 시대의 고성능 자바스크립트 플랫폼 (에이콘 웹 프로페셔널 시리즈 43);25,200원;0 / 10;http://image.kyobobook.co.kr/images/book/large/762/l9788960772762.jpg
[컴퓨터/IT] MVP적 문제 해결을 위한 Node.js 프로그래밍;20,700원;2.5 / 10;http://image.kyobobook.co.kr/images/book/large/277/l9788931553277.jpg
[컴퓨터/IT] Node. Js 정석: 실질적인 지름길;17,000원;0 / 10;http://image.kyobobook.co.kr/images/book/large/687/l9791156003687.jpg
[컴퓨터/IT] Node.js 프로그래밍 : 실시간 웹 애플리케이션 개발을 위한;25,200원;0 / 10;http://image.kyobobook.co.kr/images/book/large/370/l9788965400370.jpg
[컴퓨터/IT] Node.js로 봇 만들기 : 다양한 예제와 플랫폼을 활용한 봇 개발 (acorn+PACKT 시리즈);27,000원;9.4 / 10;http://image.kyobobook.co.kr/images/book/large/245/l9791161751245.jpg
[컴퓨터/IT] Node.js를 활용한 마이크로서비스 개발 (acorn+PACKT 시리즈);27,000원;7.5 / 10;http://image.kyobobook.co.kr/images/book/large/446/l9791161750446.jpg
[컴퓨터/IT] Redis와 Node.js를 사용한 웹 애플리케이션 개발 : 클라우드 시대 웹 서비스의 확장성을 높이는 (acorn+PACKT 시리즈);29,700원;0 / 10;http://image.kyobobook.co.kr/images/book/large/293/l9788960777293.jpg
[컴퓨터/IT] 실무에 바로 적용하는 Node.js;21,600원;2.5 / 10;http://image.kyobobook.co.kr/images/book/large/272/l9791185890272.jpg
[과학/기술] Node.Js, Mongodb, and Angularjs Web Development;54,020원;;http://image.kyobobook.co.kr/images/book/large/780/l9780321995780.jpg
[과학/기술] Node.Js High Performance ;40,670원;;http://image.kyobobook.co.kr/newimages/apps/b2c/product/Noimage_l.gif
[예술/건축] Node.Js Design Patterns ;53,000원;;http://image.kyobobook.co.kr/images/book/large/587/l9781785885587.jpg
[과학/기술] Node.Js for Embedded Systems : Using Web Technologies to Build Connected Devices;31,450원;;http://image.kyobobook.co.kr/images/book/large/998/l9781491928998.jpg
[과학/기술] Node.Js 8 the Right Way : Practical, Server-Side JavaScript That Scales;40,980원;;http://image.kyobobook.co.kr/images/book/large/957/l9781680501957.jpg
[과학/기술] Node.Js in Action ;60,330원;;http://image.kyobobook.co.kr/images/book/large/576/l9781617292576.jpg
[과학/기술] Mastering Node.Js ;49,000원;;http://image.kyobobook.co.kr/images/book/large/960/l9781785888960.jpg
[자연/기술과학] いまどきのJSプログラマ-のためのNODE.JSとREACTアプリケ-ション開發テクニック ELECTRON,REACT NATIVE,FLUX,EXPRESSと組み合わせて簡單にアプリ作成!;42,340원;;http://image.kyobobook.co.kr/images/book/large/145/l9784802611145.jpg
[컴퓨터/인터넷] Node.js 교과서 : 기본기에 충실한 Node.js 10 입문서;20,160원;9.6 / 10;http://image.kyobobook.co.kr/images/book/large/222/l4801160505222.jpg
[컴퓨터/인터넷] 초보자를 위한 Node.js 노드js 200제;14,400원;8.9 / 10;http://image.kyobobook.co.kr/images/book/large/798/l9788956747798.jpg
[외국도서] Node.js for PHP Developers;28,600원;0 / 10;http://image.kyobobook.co.kr/images/book/large/805/l4801449333805.jpg
[외국도서] Node.js for PHP Developers;28,600원;0 / 10;http://image.kyobobook.co.kr/images/book/large/812/l4801449333812.jpg
[외국도서] Node.js for Embedded Systems;28,600원;0 / 10;http://image.kyobobook.co.kr/images/book/large/967/l4801491928967.jpg
[컴퓨터/인터넷] Node.js 프로그래밍;15,750원;9.6 / 10;http://image.kyobobook.co.kr/images/book/large/946/l9788968482946.jpg
[외국도서] Node.js for Embedded Systems;28,600원;0 / 10;http://image.kyobobook.co.kr/images/book/large/943/l4801491928943.jpg
[컴퓨터/인터넷] Node.js 6.x 블루프린트 : ES6와 익스프레스로 SNS, 상점 찾기, 실시간 채팅 등;18,900원;10 / 10;http://image.kyobobook.co.kr/images/book/large/576/l9788968487576.jpg
[컴퓨터/인터넷] Node.js 마이크로서비스 코딩 공작소 : 마이크로서비스 아키텍처 설계와 구현/장애 처리/보안/로그 수집/배포까지;16,380원;6.5 / 10;http://image.kyobobook.co.kr/images/book/large/218/l4801160504218.jpg
[컴퓨터/인터넷] Do it! Node.js 프로그래밍 : 실제 서버로 구동 가능한 코드로 배운다!;20,700원;8.7 / 10;http://image.kyobobook.co.kr/images/book/large/803/l4801187370803.jpg
[컴퓨터/인터넷] Mastering Node.js Second Edition : Build robust and scalable real-time server-side web applications efficiently;19,000원;0 / 10;http://image.kyobobook.co.kr/images/book/large/310/l480D180615310.jpg
[컴퓨터/인터넷] Advanced Node.js Development : Master Node.js by building real-world applications;19,000원;0 / 10;http://image.kyobobook.co.kr/images/book/large/730/l480D180425730.jpg
[컴퓨터/인터넷] Learning Node.js Development : Learn the fundamentals of Node.js, and deploy and test Node.js applications on the web;24,000원;0 / 10;http://image.kyobobook.co.kr/images/book/large/780/l480D180313780.jpg
[외국도서] Professional Node.js;33,850원;0 / 10;http://image.kyobobook.co.kr/images/book/large/564/l4801118240564.jpg
[컴퓨터/인터넷] Hands-On Microservices with Node.js : Build, test, and deploy robust microservices in JavaScript;22,000원;0 / 10;http://image.kyobobook.co.kr/images/book/large/430/l480D180744430.jpg
[과학/기술] Node.Js 6.X Blueprints ;59,000원;;http://image.kyobobook.co.kr/images/book/large/434/l9781785888434.jpg
[과학/기술] Node.js in Action ;48,200원;;http://image.kyobobook.co.kr/images/book/large/572/l9781617290572.jpg
[과학/기술] Node.Js the Right Way : Practical, Server-Side JavaScript That Scales;20,510원;;http://image.kyobobook.co.kr/newimages/apps/b2c/product/Noimage_l.gif
[컴퓨터/IT] Vue.js 첫걸음 : 기본 원리부터 응용까지 탄탄하게 익히는 웹 애플리케이션 개발;19,800원;6.3 / 10;http://image.kyobobook.co.kr/images/book/large/618/l9791162240618.jpg
[컴퓨터/IT] D3.js 실시간 데이터 시각화 : Node.js 환경에서 실시간 대시보드 만들기 (acorn+PACKT 시리즈);27,000원;0 / 10;http://image.kyobobook.co.kr/images/book/large/538/l9788960777538.jpg
[외국도서] Getting Started with GEO, CouchDB, and Node.js;16,500원;0 / 10;http://image.kyobobook.co.kr/images/book/large/006/l4801449316006.jpg
[외국도서] Getting Started with GEO, CouchDB, and Node.js;16,500원;0 / 10;http://image.kyobobook.co.kr/images/book/large/450/l4801449315450.jpg
[컴퓨터/인터넷] RESTful Web API Design with Node.JS 10 3E : Learn to create robust RESTful web services with Node.js, MongoDB, and Express.js;9,000원;0 / 10;http://image.kyobobook.co.kr/images/book/large/440/l480D180622440.jpg
[컴퓨터/인터넷] Full-Stack Web Development with Vue.js and Node : Build scalable and powerful web apps with modern web stack: MongoDB, Vue, Node.js, and Express;14,000원;0 / 10;http://image.kyobobook.co.kr/images/book/large/400/l480D180707400.jpg
[과학/기술] Professional Node.Js : Building JavaScript Based Scalable Software;48,200원;;http://image.kyobobook.co.kr/images/book/large/469/l9781118185469.jpg
[컴퓨터/IT] 한 권으로 끝내는 Node & Express : 웹사이트 구축을 위한 서버 사이드 자바스크립트;22,500원;0 / 10;http://image.kyobobook.co.kr/images/book/large/229/l9788968482229.jpg
[자연/기술과학] JS+NODE.JSによるWEBクロ-ラ-/ネットエ-ジェント(開發テクニック) HTML文法解析から機械學習まで まだ,WEBデ-タを手で集めていますか?;39,850원;;http://image.kyobobook.co.kr/images/book/large/934/l9784883379934.jpg
[과학/기술] Node.Js Web Development ;39,000원;;http://image.kyobobook.co.kr/images/book/large/503/l9781785881503.jpg
[과학/기술] Node.Js Design Patterns ;67,790원;;http://image.kyobobook.co.kr/images/book/large/314/l9781783287314.jpg
[과학/기술] Node Js with Koa 2 : Step by Step Guide to Develop Web Apps with Complete Source Code of Node Js with Koa 2;13,560원;;http://image.kyobobook.co.kr/newimages/apps/b2c/product/Noimage_l.gif
[과학/기술] Node.Js Essentials ;33,890원;;http://image.kyobobook.co.kr/images/book/large/922/l9781785284922.jpg
[과학/기술] Node.Js Blueprints ;74,570원;;http://image.kyobobook.co.kr/images/book/large/338/l9781783287338.jpg
[과학/기술] Node.Js Web App Development : Create Your Own Web Apps with Node.Js Platform;16,270원;;http://image.kyobobook.co.kr/newimages/apps/b2c/product/Noimage_l.gif
[과학/기술] Node.js in Practice : Foreword by Ben Noordhuis;53,550원;;http://image.kyobobook.co.kr/images/book/large/930/l9781617290930.jpg
[과학/기술] Node.Js : JavaScript Based Framework. Easy Guide Book;15,440원;;http://image.kyobobook.co.kr/newimages/apps/b2c/product/Noimage_l.gif
[과학/기술] Node.Js : Easy Guide Book for Beginners. Learn Node.Js Framework in 1 Day!;14,360원;;http://image.kyobobook.co.kr/newimages/apps/b2c/product/Noimage_l.gif
[과학/기술] Node.Js : Web Development for Beginners: Learn the Basics of Node.Js in One Week;8,060원;;http://image.kyobobook.co.kr/newimages/apps/b2c/product/Noimage_l.gif
[과학/기술] Node.Js Web Development ;61,010원;;http://image.kyobobook.co.kr/images/book/large/859/l9781788626859.jpg
[과학/기술] Node.Js Succinctly ;9,210원;;http://image.kyobobook.co.kr/images/book/large/528/l9781542809528.jpg
[과학/기술] Node.Js for .Net Developers ;24,130원;;http://image.kyobobook.co.kr/images/book/large/988/l9780735662988.jpg
[과학/기술] Node.js / Sams Teach Yoursel Node.js in 24 Hours ;52,960원;;http://image.kyobobook.co.kr/newimages/apps/b2c/product/Noimage_l.gif
[과학/기술] Node.js for PHP Developers : Porting PHP to Node.Js;32,130원;;http://image.kyobobook.co.kr/images/book/large/607/l9781449333607.jpg
[과학/기술] Node.Js, Mongodb and Angular Web Development : The Definitive Guide to Using the Mean Stack to Build Web Applications;53,550원;;http://image.kyobobook.co.kr/images/book/large/536/l9780134655536.jpg
[과학/기술] Node.Js Recipes : A Problem-Solution Approach;54,300원;;http://image.kyobobook.co.kr/images/book/large/585/l9781430260585.jpg
[독일도서] Node.js : Das umfassende Handbuch. Serverseitige Webapplikationen mit JavaScript entwickeln;80,100원;;http://image.kyobobook.co.kr/images/book/large/552/l9783836262552.jpg
[독일도서] Node.js & Co. : Skalierbare, hochperformante und echtzeitfaehige Webanwendungen in JavaScript entwickeln;55,510원;;http://image.kyobobook.co.kr/newimages/apps/b2c/product/Noimage_l.gif
[독일도서] Node.js : Professionell hochperformante Software entwickeln;56,170원;;http://image.kyobobook.co.kr/newimages/apps/b2c/product/Noimage_l.gif
[과학/기술] Node.Js Et Angularjs - Coffret De 2 Livres : Javascript Pour Vos Developpements Serveur Et Client;140,670원;;http://image.kyobobook.co.kr/newimages/apps/b2c/product/Noimage_l.gif
[과학/기술] Node.Js Beyond the Basics ;20,750원;;http://image.kyobobook.co.kr/images/book/large/116/l9781986394116.jpg
[독일도서] Node.js : Das umfassende Handbuch. Serverseitige Webapplikationen mit JavaScript entwickeln;68,450원;;http://image.kyobobook.co.kr/newimages/apps/b2c/product/Noimage_l.gif
[자연/기술과학] NODE.JSの敎科書 現場で通用する力を身につける;39,600원;;http://image.kyobobook.co.kr/images/book/large/699/l9784839950699.jpg
[과학/기술] Building Bots with Node.Js ;54,230원;;http://image.kyobobook.co.kr/images/book/large/450/l9781786465450.jpg
[과학/기술] Learning Node.JS : A Hands-On Guide to Building Web Applications in JavaScript;42,840원;;http://image.kyobobook.co.kr/images/book/large/708/l9780134663708.jpg
Learning Node.Js Development ;54,230원;;http://image.kyobobook.co.kr/newimages/apps/b2c/product/Noimage_l.gif
[과학/기술] Mastering Node.Js : Expert Techniques for Building Tast Servers and Scalable, Real-time Network Applications With Minimal Effort;67,790원;;http://image.kyobobook.co.kr/images/book/large/320/l9781782166320.jpg
[과학/기술] Beginning Node.Js ;60,330원;;http://image.kyobobook.co.kr/newimages/apps/b2c/product/Noimage_l.gif
[과학/기술] Deploying Node.Js ;61,010원;;http://image.kyobobook.co.kr/newimages/apps/b2c/product/Noimage_l.gif
[과학/기술] Learning Node.Js for Mobile Application Development ;61,010원;;http://image.kyobobook.co.kr/images/book/large/498/l9781785280498.jpg
[과학/기술] Learn Node.Js by Building 6 Projects ;47,450원;;http://image.kyobobook.co.kr/newimages/apps/b2c/product/Noimage_l.gif
[과학/기술] Testing Node.Js Web Uis ;27,110원;;http://image.kyobobook.co.kr/images/book/large/526/l9781782160526.jpg
[과학/기술] Advanced Node.Js Development ;54,230원;;http://image.kyobobook.co.kr/newimages/apps/b2c/product/Noimage_l.gif
[과학/기술] Practical Node.Js : Building Real-World Scalable Web Apps;40,690원;;http://image.kyobobook.co.kr/images/book/large/381/l9781484230381.jpg
[과학/기술] Pro Node.Js for Developers ;60,330원;;http://image.kyobobook.co.kr/images/book/large/605/l9781430258605.jpg
[과학/기술] Smashing Node.Js : JavaScript Everywhere;48,200원;;http://image.kyobobook.co.kr/images/book/large/595/l9781119962595.jpg
[과학/기술] Practical Node.Js : Building Real-World Scalable Web Apps;60,330원;;http://image.kyobobook.co.kr/images/book/large/955/l9781430265955.jpg
[과학/기술] Essential Node.Js Security ;30,170원;;http://image.kyobobook.co.kr/images/book/large/552/l9781365698552.jpg
[과학/기술] Learning Node.js : A Hands-On Guide to Building Web Applications in JavaScript;42,840원;;http://image.kyobobook.co.kr/images/book/large/578/l9780321910578.jpg
[과학/기술] Hands-On Microservices with Node.Js ;61,010원;;http://image.kyobobook.co.kr/newimages/apps/b2c/product/Noimage_l.gif
[과학/기술] Building Scalable Apps with Redis and Node.Js ;61,010원;;http://image.kyobobook.co.kr/images/book/large/480/l9781783984480.jpg
[과학/기술] Jump Start Node.Js : Get Up to Speed with Node.Js in a Weekend;26,730원;;http://image.kyobobook.co.kr/images/book/large/103/l9780987332103.jpg
[과학/기술] Angular Et Node.Js - Optimisez Le Developpement De Vos Applications Web Avec Une Architecture Mean ;74,040원;;http://image.kyobobook.co.kr/newimages/apps/b2c/product/Noimage_l.gif
Programmation Avec Node.Js, Express.Js Et Mongodb Javascript Cote Serveur ;53,500원;;http://image.kyobobook.co.kr/newimages/apps/b2c/product/Noimage_l.gif
